cidade,h,data_alvo,real,previsto
americana,2,2016-03-13,215.0,361.9
americana,2,2016-03-20,156.0,340.7
americana,2,2016-03-27,128.0,244.8
americana,2,2016-04-03,131.0,239.8
americana,2,2016-04-10,101.0,193.1
americana,2,2016-04-17,70.0,163.4
americana,2,2016-04-24,86.0,105.8
americana,2,2016-05-01,64.0,72.6
americana,2,2016-05-08,57.0,50.2
americana,2,2016-05-15,27.0,35.4
americana,2,2016-05-22,12.0,28.1
americana,2,2016-05-29,13.0,9.8
americana,2,2016-06-05,0.0,4.5
americana,2,2016-06-12,4.0,6.0
americana,2,2016-06-19,11.0,2.4
americana,2,2016-06-26,15.0,2.0
americana,2,2016-07-03,11.0,6.6
americana,2,2016-07-10,13.0,5.9
americana,2,2016-07-17,14.0,6.5
americana,2,2016-07-24,9.0,9.2
americana,2,2016-07-31,2.0,9.6
americana,2,2016-08-07,5.0,10.4
americana,2,2016-08-14,5.0,5.9
americana,2,2016-08-21,3.0,4.2
americana,2,2016-08-28,0.0,3.6
americana,2,2016-09-04,2.0,4.0
americana,2,2016-09-11,4.0,2.8
americana,2,2016-09-18,6.0,2.6
americana,2,2016-09-25,10.0,2.9
americana,2,2016-10-02,7.0,2.4
americana,2,2016-10-09,17.0,6.9
americana,2,2016-10-16,26.0,6.7
americana,2,2016-10-23,13.0,10.4
